カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
理容所,Ｇｒｅｅｎ Ｈａｉｒ,525-0034,草津市草津二丁目,草津市草津二丁目１６－１７,１６－１７,532-2468,鵜飼 浩幸,H21/10/07,,,,草津,5627913.pdf
理容所,ｉｎｎａ ＨＡＩＲ ＤＥＳＩＧＮ Ｙ ＡＭＡＤＡ,525-0029,草津市下笠町,草津市下笠町１０２７－７,１０２７－７,077-532-4277,山田 浩次,H22/02/04,,,,草津,5627913.pdf
理容所,カットサロン ヤマナカ,523-0044,近江八幡市篠原町一丁 目,近江八幡市篠原町一丁 目１１－４,１１－４,34-6223,山中 昭二,S57/01/06,,,,東近江,5627913.pdf
理容所,カットスペース たけむら,527-0025,東近江市八日市東本町,東近江市八日市東本町３－２３,３－２３,22-2480,竹村 幸之助,H06/09/20,,,,東近江,5627913.pdf
理容所,カットハウス ＲＩＫＩ,523-0005,近江八幡市末広町,近江八幡市末広町３６２,３６２,0748-37-5758,清田 力,H14/04/04,,,,東近江,5627913.pdf
理容所,カットハウス しゃぼん,521-1222,東近江市佐野町,東近江市佐野町５６－９,５６－９,0748-42-7759,秋山 博文,H13/09/19,,,,東近江,5627913.pdf
理容所,カットハウス スズキ,527-0046,東近江市妙法寺町,東近江市妙法寺町大林６９３－２,大林６９３－２,23-0793,鈴木 泰一,H05/05/18,,,,東近江,5627913.pdf
理容所,カットハウス ハシノ,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦４５９３－２,４５９３－２,46-4985,橋野 浩一,S63/02/16,,,,東近江,5627913.pdf
理容所,カットハウス フジイ,527-0013,東近江市東中野町,東近江市東中野町７－３０,７－３０,22-4526,藤井 眞澄,H06/01/13,,,,東近江,5627913.pdf
理容所,カットハウス 髪風船,521-1222,東近江市佐野町,東近江市佐野町４２０－４,４２０－４,42-7585,清水 哲司,H05/01/05,,,,東近江,5627913.pdf
理容所,カットハウスアカザワ,529-1603,蒲生郡日野町大窪,蒲生郡日野町大窪１０２２,１０２２,0748-52-0434,赤澤 尚樹,H20/09/26,,,,東近江,5627913.pdf
理容所,カットハウスこいずみ,527-0231,東近江市山上町,東近江市山上町１２４８－１,１２４８－１,27-0631,小泉 健次,H07/02/08,,,,東近江,5627913.pdf
理容所,カットハウス床龍,523-0877,近江八幡市池田町四丁 目,近江八幡市池田町四丁 目１８,１８,0748-33-4335,田村 成久,H11/09/28,,,,東近江,5627913.pdf
理容所,キムラ理容院,520-2561,蒲生郡竜王町須惠,蒲生郡竜王町須惠１０６５,１０６５,58-0865,木村 廣次,H09/01/28,,,,東近江,5627913.pdf
理容所,キムラ理容所,527-0212,東近江市永源寺高野町,東近江市永源寺高野町２８６,２８６,27-0665,木村 住夫,H06/04/06,,,,東近江,5627913.pdf
理容所,こにし理容店,523-0806,近江八幡市北之庄町,近江八幡市北之庄町１１６１,１１６１,32-2793,小西 正男,S45/05/21,,,,東近江,5627913.pdf
理容所,サカエ理容室,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上２４７６,２４７６,0748-57-0061,石井 雄介,H11/03/30,,,,東近江,5627913.pdf
理容所,サロン ド ジョイ,523-0075,近江八幡市野村町,近江八幡市野村町３０７－４,３０７－４,36-8644,仲江 孝彦,S62/09/24,,,,東近江,5627913.pdf
理容所,サワムラ理容所,527-0039,東近江市青葉町,東近江市青葉町１－２７,１－２７,22-5106,澤村 隆司,S44/04/28,,,,東近江,5627913.pdf
理容所,しが理容 のと川店,521-1231,東近江市能登川町,東近江市能登川町５０－４,５０－４,0748-42-6428,西岡 龍治,H14/04/17,,,,東近江,5627913.pdf
理容所,スオウ理容院,523-0887,近江八幡市西元町,近江八幡市西元町５,５,33-2079,周防 功司,H03/12/06,,,,東近江,5627913.pdf
理容所,たけだ理容店,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦５０９６ Ｋマート前,５０９６ Ｋマート前,46-4687,竹田 久子,S53/07/27,,,,東近江,5627913.pdf
理容所,タニ理容所,527-0025,東近江市八日市東本町,東近江市八日市東本町５－３２,５－３２,22-3145,谷 初江,S47/11/27,,,,東近江,5627913.pdf
理容所,トメサ理容院,521-1351,近江八幡市安土町常楽 寺,近江八幡市安土町常楽 寺３００,３００,46-4331,福井 邦治,S51/06/23,,,,東近江,5627913.pdf
理容所,パーラー ラムセス,527-0055,東近江市瓜生津町,東近江市瓜生津町１３－１６,１３－１６,22-0053,布川 史晶,H05/07/14,,,,東近江,5627913.pdf
理容所,ひかり理容所,529-1628,蒲生郡日野町西大路,蒲生郡日野町西大路２１１６－４,２１１６－４,52-3132,奥田 光治郎,S44/07/01,,,,東近江,5627913.pdf
理容所,ひかり理容所,523-0058,近江八幡市加茂町,近江八幡市加茂町２９６５,２９６５,34-8181,高橋 寿三夫,S39/11/02,,,,東近江,5627913.pdf
理容所,ヒナガ理容所,529-1537,東近江市市子殿町,東近江市市子殿町３０３,３０３,55-0518,日永 啓一,S43/12/01,,,,東近江,5627913.pdf
理容所,ビューティーセクション チャウズ,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾３－７ ２Ｆ,３－７ ２Ｆ,53-2117,川東 勉,S63/11/22,,,,東近江,5627913.pdf
理容所,ファミリーサロン ヨネクラ,523-0031,近江八幡市堀上町,近江八幡市堀上町１７０,１７０,0748-33-8148,米倉 育夫,H18/09/29,,,,東近江,5627913.pdf
理容所,ファミリーヘアーサロン いわさき,527-0063,東近江市大森町,東近江市大森町１５５５,１５５５,22-3284,岩﨑 量平,S58/12/16,,,,東近江,5627913.pdf
理容所,フィール,523-0857,近江八幡市八幡町,近江八幡市八幡町４８－１６,４８－１６,0748-32-3273,須山 房子,H14/11/28,,,,東近江,5627913.pdf
理容所,ふじた理容,527-0103,東近江市湯屋町,東近江市湯屋町１２７８,１２７８,45-2131,藤田 一枝,S60/10/01,,,,東近江,5627913.pdf
理容所,プラージュ八幡理容,523-0894,近江八幡市中村町,近江八幡市中村町１－２ 山添ビル１Ｆ,１－２ 山添ビル１Ｆ,32-6708,阪南理美容株式会社,H04/07/31,,,,東近江,5627913.pdf
理容所,ヘアー モリキ,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾１５７８,１５７８,0748-52-1541,森木 ミキ子,H17/03/22,,,,東近江,5627913.pdf
理容所,ヘアーサロン Ｍ おく井,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦十七５０９６－１２７,十七５０９６－１２７,46-2356,奥井 道夫,H04/03/18,,,,東近江,5627913.pdf
理容所,ヘアーサロン いしばし,529-1402,東近江市五個荘七里町,東近江市五個荘七里町６５－７,６５－７,48-3121,石橋 正男,S58/07/04,,,,東近江,5627913.pdf
理容所,ヘアーサロン カワバタ,523-0877,近江八幡市池田町四丁 目,近江八幡市池田町四丁 目３１,３１,33-3653,五島 猛,S49/02/08,,,,東近江,5627913.pdf
理容所,ヘアーサロン キタムラ,529-1413,東近江市五個荘簗瀬町,東近江市五個荘簗瀬町８４８－３,８４８－３,48-2363,北村 絹江,H01/09/19,,,,東近江,5627913.pdf
理容所,ヘアーサロン クシダ,521-1225,東近江市山路町,東近江市山路町６９２,６９２,42-1655,櫛田 美奈子,H06/03/29,,,,東近江,5627913.pdf
理容所,ヘアーサロン コダマ,529-1541,東近江市蒲生堂町,東近江市蒲生堂町３４０－１２３,３４０－１２３,55-2344,児玉 忍,H01/12/08,,,,東近江,5627913.pdf
理容所,ヘアーサロン コバヤシ,523-0037,近江八幡市東町,近江八幡市東町３１１,３１１,37-7600,小林 健,H02/05/30,,,,東近江,5627913.pdf
理容所,ヘアーサロン コマイ,523-0004,近江八幡市西生来町,近江八幡市西生来町９３１－８,９３１－８,37-7907,駒井 繁樹,H02/04/10,,,,東近江,5627913.pdf
理容所,ヘアーサロン シミズ,521-1222,東近江市佐野町,東近江市佐野町１９７,１９７,42-1248,清水 敏男,H06/03/08,,,,東近江,5627913.pdf
理容所,ヘアーサロン スヤマ,523-0856,近江八幡市音羽町,近江八幡市音羽町１９－９,１９－９,34-6331,須山 藤好,S57/02/24,,,,東近江,5627913.pdf
理容所,ヘアーサロン ソノダ,520-2573,蒲生郡竜王町鏡,蒲生郡竜王町鏡１１８５,１１８５,58-0287,園田 美代子,S60/11/18,,,,東近江,5627913.pdf
理容所,ヘアーサロン タカハシ,529-1404,東近江市宮荘町,東近江市宮荘町６３１－５,６３１－５,48-2448,髙橋 澄子,S46/08/06,,,,東近江,5627913.pdf
理容所,ヘアーサロン なえむら,527-0018,東近江市八日市清水二 丁目,東近江市八日市清水二 丁目９－１,９－１,22-0709,苗村 淳,S42/03/05,,,,東近江,5627913.pdf
理容所,ヘアーサロン ナカムラ,521-1341,近江八幡市安土町上豊 浦,近江八幡市安土町上豊 浦１１１０－８,１１１０－８,46-5014,中村 守,S53/07/22,,,,東近江,5627913.pdf
理容所,ヘアーサロン にしだ,523-0048,近江八幡市緑町二丁目,近江八幡市緑町二丁目１１０５－２７,１１０５－２７,34-6760,西田 里美,H05/11/04,,,,東近江,5627913.pdf
理容所,ヘアーサロン ファミリー,523-0015,近江八幡市上田町,近江八幡市上田町１２５７－２０,１２５７－２０,37-1289,平田 邦昭,S57/09/04,,,,東近江,5627913.pdf
理容所,ヘアーサロン フクチ,523-0004,近江八幡市西生来町,近江八幡市西生来町１２０３,１２０３,37-7537,福地 信子,S58/11/05,,,,東近江,5627913.pdf
理容所,ヘアーサロン フジオ,527-0005,東近江市建部南町,東近江市建部南町２３５－１,２３５－１,22-2439,日浦 富士雄,H08/05/20,,,,東近江,5627913.pdf
理容所,ヘアーサロン ムライ,523-0022,近江八幡市馬淵町,近江八幡市馬淵町１６５２－１,１６５２－１,37-7375,村居 二三夫,S49/03/22,,,,東近江,5627913.pdf
理容所,ヘアーサロン ムラタ,520-2521,蒲生郡竜王町川守,蒲生郡竜王町川守４５０－１,４５０－１,57-0646,村田 巌,H06/09/26,,,,東近江,5627913.pdf
理容所,ヘアーサロン ヤスイ,521-1243,東近江市栗見新田町,東近江市栗見新田町７４１,７４１,45-0095,安居 しか代,S44/04/06,,,,東近江,5627913.pdf
理容所,ヘアーサロン やまぐち,527-0231,東近江市山上町,東近江市山上町１１７６,１１７６,27-1417,山口 郁夫,S56/11/24,,,,東近江,5627913.pdf
理容所,ヘアーサロン よこやま,529-1603,蒲生郡日野町大窪,蒲生郡日野町大窪５７９,５７９,52-1453,横山 昇,S53/10/16,,,,東近江,5627913.pdf
理容所,ヘアーサロン ヨネヤマ,523-0031,近江八幡市堀上町,近江八幡市堀上町１４２－４１,１４２－４１,33-0065,米山 貞夫,S51/08/11,,,,東近江,5627913.pdf
理容所,ヘアーサロン 松村,527-0227,東近江市石谷町,東近江市石谷町５５８－５,５５８－５,0748-27-1826,松村 秋代,H17/03/16,,,,東近江,5627913.pdf
理容所,ヘアーサロン 川島,529-1571,東近江市川合町,東近江市川合町１０６６－１,１０６６－１,55-0372,川島 恒己,S47/01/12,,,,東近江,5627913.pdf
理容所,ヘアーサロン 大砲館,529-1601,蒲生郡日野町松尾,蒲生郡日野町松尾１４９４,１４９４,52-1295,高倉 善三郎,S53/12/12,,,,東近江,5627913.pdf
理容所,ヘアーサロン 達川,527-0033,東近江市東沖野一丁目,東近江市東沖野一丁目７－４８,７－４８,22-1319,達川 保健,H02/10/08,,,,東近江,5627913.pdf
理容所,ヘアーサロン 池田,527-0012,東近江市八日市本町,東近江市八日市本町１７－９,１７－９,22-5171,池田 誠弘,S50/03/01,,,,東近江,5627913.pdf
理容所,ヘアーサロン 髪切屋 バル,527-0033,東近江市東沖野三丁目,東近江市東沖野三丁目２－１７,２－１７,23-5880,林 成男,S53/02/28,,,,東近江,5627913.pdf
理容所,ヘアーサロンいちい,529-1431,東近江市五個荘山本町,東近江市五個荘山本町７８－１,７８－１,48-2695,市井 善蔵,S57/12/01,,,,東近江,5627913.pdf
理容所,ヘアーサロンタニダ,527-0102,東近江市平柳町,東近江市平柳町６１０,６１０,45-1709,谷田 信一,H01/08/03,,,,東近江,5627913.pdf
理容所,ヘアーサロン久松,523-0013,近江八幡市長光寺町,近江八幡市長光寺町９０,９０,37-7175,久松 英夫,S48/11/16,,,,東近江,5627913.pdf
理容所,ヘアーサロン川崎,523-0892,近江八幡市出町,近江八幡市出町４９３,４９３,32-3560,川崎 雅夫,H13/03/27,,,,東近江,5627913.pdf
理容所,ヘアースタジオ フィット,529-1631,蒲生郡日野町鎌掛,蒲生郡日野町鎌掛２８４７,２８４７,0748-53-2328,竹村 達幸,H13/06/25,,,,東近江,5627913.pdf
理容所,ヘアーハウス 燦,527-0034,東近江市沖野二丁目,東近江市沖野二丁目１０－３,１０－３,23-6190,吉見 一夫,S57/07/05,,,,東近江,5627913.pdf
理容所,ヘアーファッションサロンタイナカ,523-0084,近江八幡市船木町,近江八幡市船木町１１２８－１,１１２８－１,33-4423,田井中 町男,S59/10/28,,,,東近江,5627913.pdf
理容所,ヘアーモード 床龍,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町６７４－１,６７４－１,0748-32-2806,中村 進,H14/04/09,,,,東近江,5627913.pdf
理容所,ヘアーリラクゼーション Ｉ－ｔｓ,529-1431,東近江市五個荘山本町,東近江市五個荘山本町１０３,１０３,0748-48-5201,市井 保伸,H19/05/07,,,,東近江,5627913.pdf
理容所,ヘアーワーク おおたに,527-0045,東近江市中小路町,東近江市中小路町５５１－１ アートＳＨＵＮ ２１ １Ｆ,５５１－１ アートＳＨＵＮ ２１ １Ｆ,0748-25-7168,大谷 和彦,H15/03/26,,,,東近江,5627913.pdf
理容所,ヘアーワークス Ｙ’ｓ,523-0819,近江八幡市西本郷町西,近江八幡市西本郷町西１－２,１－２,0748-37-8003,小林 庸子,H07/11/24,,,,東近江,5627913.pdf
理容所,ヘアサロン やすむら,521-1235,東近江市伊庭町,東近江市伊庭町２３３１,２３３１,0748-42-1667,安村 重幸,H13/04/13,,,,東近江,5627913.pdf
理容所,ヘアーサロン高倉,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上１２０４－３,１２０４－３,57-0915,高倉 健治,H07/11/21,,,,東近江,5627913.pdf
理容所,ヘアーファッション ナカジマ,527-0113,東近江市池庄町,東近江市池庄町１５２１,１５２１,0749-45-0472,中島 宏,H12/05/10,,,,東近江,5627913.pdf
理容所,ヘブンズ ヘアー,521-1221,東近江市垣見町,東近江市垣見町５５３－３,５５３－３,0748-42-2056,井上 嘉美,H15/02/21,,,,東近江,5627913.pdf
理容所,マツバラ理容院,523-0063,近江八幡市十王町,近江八幡市十王町３７０,３７０,36-8163,松原 繁,S39/08/19,,,,東近江,5627913.pdf
理容所,ミッチー,527-0046,東近江市妙法寺町,東近江市妙法寺町８８３－５,８８３－５,23-3883,肥夏 清美,S49/12/14,,,,東近江,5627913.pdf
理容所,ミフネ理容所,523-0813,近江八幡市西本郷町,近江八幡市西本郷町４０１,４０１,37-7387,奥谷 潔,S43/07/04,,,,東近江,5627913.pdf
理容所,ムッシュ リュウマ,523-0015,近江八幡市上田町,近江八幡市上田町１７６－６,１７６－６,0748-37-0438,有限会社ムッシュリュウマ,H18/12/22,,,,東近江,5627913.pdf
理容所,メンズ＆レディースサロン タマミズ,527-0076,東近江市野口町,東近江市野口町１－２８,１－２８,0748-23-0576,玉水 龍太郎,H11/05/20,,,,東近江,5627913.pdf
理容所,ユアーズ,529-1421,東近江市五個荘竜田町,東近江市五個荘竜田町６３４,６３４,48-3881,市田 茂輔,H04/04/23,,,,東近江,5627913.pdf
理容所,ラルジュ神崎中央病院店,529-1445,東近江市五個荘清水鼻 町,東近江市五個荘清水鼻 町９５神崎中央病院内,９５神崎中央病院内,0748-48-5555,有限会社ラルジュ,H19/05/07,,,,東近江,5627913.pdf
理容所,リビーブ ひろ,529-1501,東近江市石塔町,東近江市石塔町９６２,９６２,0748-55-1902,森 ひさみ,H10/05/21,,,,東近江,5627913.pdf
理容所,阿部理容,523-0043,近江八幡市池田本町,近江八幡市池田本町１１０１－９,１１０１－９,33-3422,阿部 武,S49/09/04,,,,東近江,5627913.pdf
理容所,河島美容院,527-0155,東近江市大林町,東近江市大林町６２１,６２１,46-1322,河島 正明,S41/06/28,,,,東近江,5627913.pdf
